audio_path,face_path,identity,facenet_feats_path,label,ecappa_feats_path,wavlmsv_feats_path
,,id0001,./facenetfeats_original_extracted/v3/faces/id0001/English/XtKYDOsvsG0_00000/000000000.npy,0,./ecappafeats_original_extracted/v3/voices/id0001/English/XtKYDOsvsG0_00000/00000.npy,
,,id0001,./facenetfeats_original_extracted/v3/faces/id0001/English/XtKYDOsvsG0_00000/000000025.npy,0,./ecappafeats_original_extracted/v3/voices/id0001/English/XtKYDOsvsG0_00000/00000.npy,
,,id0001,./facenetfeats_original_extracted/v3/faces/id0001/English/XtKYDOsvsG0_00000/000000050.npy,0,./ecappafeats_original_extracted/v3/voices/id0001/English/XtKYDOsvsG0_00000/00000.npy,
,,id0001,./facenetfeats_original_extracted/v3/faces/id0001/English/XtKYDOsvsG0_00000/000000075.npy,0,./ecappafeats_original_extracted/v3/voices/id0001/English/XtKYDOsvsG0_00000/00000.npy,
,,id0001,./facenetfeats_original_extracted/v3/faces/id0001/English/XtKYDOsvsG0_00000/000000100.npy,0,./ecappafeats_original_extracted/v3/voices/id0001/English/XtKYDOsvsG0_00000/00000.npy,
,,id0001,./facenetfeats_original_extracted/v3/faces/id0001/English/XtKYDOsvsG0_00000/000000125.npy,0,./ecappafeats_original_extracted/v3/voices/id0001/English/XtKYDOsvsG0_00000/00000.npy,
,,id0001,./facenetfeats_original_extracted/v3/faces/id0001/English/XtKYDOsvsG0_00001/000000000.npy,0,./ecappafeats_original_extracted/v3/voices/id0001/English/XtKYDOsvsG0_00001/00000.npy,
,,id0001,./facenetfeats_original_extracted/v3/faces/id0001/English/XtKYDOsvsG0_00001/000000025.npy,0,./ecappafeats_original_extracted/v3/voices/id0001/English/XtKYDOsvsG0_00001/00000.npy,
,,id0001,./facenetfeats_original_extracted/v3/faces/id0001/English/XtKYDOsvsG0_00001/000000050.npy,0,./ecappafeats_original_extracted/v3/voices/id0001/English/XtKYDOsvsG0_00001/00000.npy,
,,id0001,./facenetfeats_original_extracted/v3/faces/id0001/English/XtKYDOsvsG0_00001/000000075.npy,0,./ecappafeats_original_extracted/v3/voices/id0001/English/XtKYDOsvsG0_00001/00000.npy,
,,id0001,./facenetfeats_original_extracted/v3/faces/id0001/English/XtKYDOsvsG0_00001/000000100.npy,0,./ecappafeats_original_extracted/v3/voices/id0001/English/XtKYDOsvsG0_00001/00000.npy,
,,id0001,./facenetfeats_original_extracted/v3/faces/id0001/English/XtKYDOsvsG0_00001/000000125.npy,0,./ecappafeats_original_extracted/v3/voices/id0001/English/XtKYDOsvsG0_00001/00000.npy,
,,id0001,./facenetfeats_original_extracted/v3/faces/id0001/English/h_vamljclHE_00000/000000000.npy,0,./ecappafeats_original_extracted/v3/voices/id0001/English/h_vamljclHE_00000/00000.npy,
,,id0001,./facenetfeats_original_extracted/v3/faces/id0001/English/h_vamljclHE_00000/000000025.npy,0,./ecappafeats_original_extracted/v3/voices/id0001/English/h_vamljclHE_00000/00000.npy,
,,id0001,./facenetfeats_original_extracted/v3/faces/id0001/English/h_vamljclHE_00000/000000050.npy,0,./ecappafeats_original_extracted/v3/voices/id0001/English/h_vamljclHE_00000/00000.npy,
,,id0001,./facenetfeats_original_extracted/v3/faces/id0001/English/h_vamljclHE_00000/000000075.npy,0,./ecappafeats_original_extracted/v3/voices/id0001/English/h_vamljclHE_00000/00000.npy,
,,id0001,./facenetfeats_original_extracted/v3/faces/id0001/English/h_vamljclHE_00000/000000100.npy,0,./ecappafeats_original_extracted/v3/voices/id0001/English/h_vamljclHE_00000/00000.npy,
,,id0001,./facenetfeats_original_extracted/v3/faces/id0001/English/h_vamljclHE_00000/000000125.npy,0,./ecappafeats_original_extracted/v3/voices/id0001/English/h_vamljclHE_00000/00000.npy,
,,id0001,./facenetfeats_original_extracted/v3/faces/id0001/English/h_vamljclHE_00000/000000150.npy,0,./ecappafeats_original_extracted/v3/voices/id0001/English/h_vamljclHE_00000/00000.npy,
,,id0001,./facenetfeats_original_extracted/v3/faces/id0001/English/h_vamljclHE_00000/000000175.npy,0,./ecappafeats_original_extracted/v3/voices/id0001/English/h_vamljclHE_00000/00000.npy,
,,id0001,./facenetfeats_original_extracted/v3/faces/id0001/English/h_vamljclHE_00000/000000200.npy,0,./ecappafeats_original_extracted/v3/voices/id0001/English/h_vamljclHE_00000/00000.npy,
,,id0001,./facenetfeats_original_extracted/v3/faces/id0001/English/h_vamljclHE_00000/000000225.npy,0,./ecappafeats_original_extracted/v3/voices/id0001/English/h_vamljclHE_00000/00000.npy,
,,id0001,./facenetfeats_original_extracted/v3/faces/id0001/English/h_vamljclHE_00000/000000250.npy,0,./ecappafeats_original_extracted/v3/voices/id0001/English/h_vamljclHE_00000/00000.npy,
,,id0001,./facenetfeats_original_extracted/v3/faces/id0001/English/h_vamljclHE_00000/000000275.npy,0,./ecappafeats_original_extracted/v3/voices/id0001/English/h_vamljclHE_00000/00000.npy,
